,category,num_Assay_Obs
0,hasCE_AGE_yrBIN_1_item_5230,61643
1,hasCE_AGE_yrBIN_1_item_5226,61636
2,hasCE_AGE_yrBIN_1_item_5218,61641
3,hasCE_AGE_yrBIN_1_item_5212,51276
4,hasCE_AGE_yrBIN_1_item_5213,10013
5,hasCE_AGE_yrBIN_1_item_5256,5965
6,hasCE_AGE_yrBIN_1_item_5097,45307
7,hasCE_AGE_yrBIN_1_item_5225,61458
8,hasCE_AGE_yrBIN_1_item_5059,11422
9,hasCE_AGE_yrBIN_1_item_5224,61581
10,hasCE_AGE_yrBIN_1_item_5248,61428
11,hasCE_AGE_yrBIN_1_item_5238,8809
12,hasCE_AGE_yrBIN_1_item_5215,61613
13,hasCE_AGE_yrBIN_1_item_5235,61588
14,hasCE_AGE_yrBIN_1_item_5236,8742
15,hasCE_AGE_yrBIN_1_item_5245,1077
16,hasCE_AGE_yrBIN_1_item_5114,45154
17,hasCE_AGE_yrBIN_1_item_5099,45237
18,hasCE_AGE_yrBIN_1_item_5257,61520
19,hasCE_AGE_yrBIN_1_item_5113,45153
20,hasCE_AGE_yrBIN_1_item_5115,45154
21,hasCE_AGE_yrBIN_1_item_5132,45245
22,hasCE_AGE_yrBIN_1_item_6316,41441
23,hasCE_AGE_yrBIN_1_item_5094,41404
24,hasCE_AGE_yrBIN_1_item_5511,11
25,hasCE_AGE_yrBIN_1_item_5129,45236
26,hasCE_AGE_yrBIN_1_item_5141,45194
27,hasCE_AGE_yrBIN_1_item_5024,13840
28,hasCE_AGE_yrBIN_1_item_5120,38412
29,hasCE_AGE_yrBIN_1_item_5136,44936
30,hasCE_AGE_yrBIN_1_item_5075,13914
31,hasCE_AGE_yrBIN_1_item_5002,44989
32,hasCE_AGE_yrBIN_1_item_5078,13960
33,hasCE_AGE_yrBIN_1_item_5025,13818
34,hasCE_AGE_yrBIN_1_item_5492,44928
35,hasCE_AGE_yrBIN_1_item_5626,42952
36,hasCE_AGE_yrBIN_1_item_5821,1378
37,hasCE_AGE_yrBIN_1_item_5038,13785
38,hasCE_AGE_yrBIN_1_item_5227,61292
39,hasCE_AGE_yrBIN_1_item_5174,8852
40,hasCE_AGE_yrBIN_1_item_5186,8881
41,hasCE_AGE_yrBIN_1_item_5161,8780
42,hasCE_AGE_yrBIN_1_item_6165,3498
43,hasCE_AGE_yrBIN_1_item_6183,4
44,hasCE_AGE_yrBIN_1_item_6095,1773
45,hasCE_AGE_yrBIN_1_item_6193,3557
46,hasCE_AGE_yrBIN_1_item_6393,2498
47,hasCE_AGE_yrBIN_1_item_6392,2498
48,hasCE_AGE_yrBIN_1_item_6396,2498
49,hasCE_AGE_yrBIN_1_item_6395,2498
50,hasCE_AGE_yrBIN_1_item_6394,2498
51,hasCE_AGE_yrBIN_1_item_6397,2498
52,hasCE_AGE_yrBIN_1_item_6398,2498
53,hasCE_AGE_yrBIN_1_item_6400,2498
54,hasCE_AGE_yrBIN_1_item_6401,2498
55,hasCE_AGE_yrBIN_1_item_6406,2498
56,hasCE_AGE_yrBIN_1_item_6403,2498
57,hasCE_AGE_yrBIN_1_item_6352,24
58,hasCE_AGE_yrBIN_1_item_6349,2498
59,hasCE_AGE_yrBIN_1_item_6348,2498
60,hasCE_AGE_yrBIN_1_item_6334,1103
61,hasCE_AGE_yrBIN_1_item_5832,2824
62,hasCE_AGE_yrBIN_1_item_6098,2824
63,hasCE_AGE_yrBIN_1_item_6340,2498
64,hasCE_AGE_yrBIN_1_item_6338,2498
65,hasCE_AGE_yrBIN_1_item_5047,1402
66,hasCE_AGE_yrBIN_1_item_6342,2498
67,hasCE_AGE_yrBIN_1_item_6343,2498
68,hasCE_AGE_yrBIN_1_item_6344,2498
69,hasCE_AGE_yrBIN_1_item_6345,2498
70,hasCE_AGE_yrBIN_1_item_6419,2474
71,hasCE_AGE_yrBIN_1_item_6346,2498
72,hasCE_AGE_yrBIN_1_item_6347,2498
73,hasCE_AGE_yrBIN_1_item_6066,391
74,hasCE_AGE_yrBIN_1_item_6624,391
75,hasCE_AGE_yrBIN_1_item_6626,391
76,hasCE_AGE_yrBIN_2_item_5230,4386
77,hasCE_AGE_yrBIN_2_item_5226,4386
78,hasCE_AGE_yrBIN_2_item_5218,4386
79,hasCE_AGE_yrBIN_2_item_5212,3406
80,hasCE_AGE_yrBIN_2_item_5213,899
81,hasCE_AGE_yrBIN_2_item_5256,148
82,hasCE_AGE_yrBIN_2_item_5097,2619
83,hasCE_AGE_yrBIN_2_item_5225,4380
84,hasCE_AGE_yrBIN_2_item_5059,622
85,hasCE_AGE_yrBIN_2_item_5224,4381
86,hasCE_AGE_yrBIN_2_item_5248,4375
87,hasCE_AGE_yrBIN_2_item_5238,943
88,hasCE_AGE_yrBIN_2_item_5215,4386
89,hasCE_AGE_yrBIN_2_item_5235,4382
90,hasCE_AGE_yrBIN_2_item_5236,941
91,hasCE_AGE_yrBIN_2_item_5245,266
92,hasCE_AGE_yrBIN_2_item_5114,2612
93,hasCE_AGE_yrBIN_2_item_5099,2618
94,hasCE_AGE_yrBIN_2_item_5257,4381
95,hasCE_AGE_yrBIN_2_item_5113,2612
96,hasCE_AGE_yrBIN_2_item_5115,2612
97,hasCE_AGE_yrBIN_2_item_5132,2619
98,hasCE_AGE_yrBIN_2_item_6316,2447
99,hasCE_AGE_yrBIN_2_item_5094,2447
100,hasCE_AGE_yrBIN_2_item_5511,5
101,hasCE_AGE_yrBIN_2_item_5129,2619
102,hasCE_AGE_yrBIN_2_item_5141,2619
103,hasCE_AGE_yrBIN_2_item_5024,803
104,hasCE_AGE_yrBIN_2_item_5120,2360
105,hasCE_AGE_yrBIN_2_item_5136,2576
106,hasCE_AGE_yrBIN_2_item_5075,803
107,hasCE_AGE_yrBIN_2_item_5002,2584
108,hasCE_AGE_yrBIN_2_item_5078,836
109,hasCE_AGE_yrBIN_2_item_5025,804
110,hasCE_AGE_yrBIN_2_item_5492,2581
111,hasCE_AGE_yrBIN_2_item_5626,1938
112,hasCE_AGE_yrBIN_2_item_5821,616
113,hasCE_AGE_yrBIN_2_item_5038,791
114,hasCE_AGE_yrBIN_2_item_5227,4338
115,hasCE_AGE_yrBIN_2_item_5174,1329
116,hasCE_AGE_yrBIN_2_item_5186,1337
117,hasCE_AGE_yrBIN_2_item_5161,1338
118,hasCE_AGE_yrBIN_2_item_6165,30
119,hasCE_AGE_yrBIN_2_item_6183,0
120,hasCE_AGE_yrBIN_2_item_6095,0
121,hasCE_AGE_yrBIN_2_item_6193,34
122,hasCE_AGE_yrBIN_2_item_6393,77
123,hasCE_AGE_yrBIN_2_item_6392,77
124,hasCE_AGE_yrBIN_2_item_6396,77
125,hasCE_AGE_yrBIN_2_item_6395,77
126,hasCE_AGE_yrBIN_2_item_6394,77
127,hasCE_AGE_yrBIN_2_item_6397,77
128,hasCE_AGE_yrBIN_2_item_6398,77
129,hasCE_AGE_yrBIN_2_item_6400,77
130,hasCE_AGE_yrBIN_2_item_6401,77
131,hasCE_AGE_yrBIN_2_item_6406,77
132,hasCE_AGE_yrBIN_2_item_6403,77
133,hasCE_AGE_yrBIN_2_item_6352,3
134,hasCE_AGE_yrBIN_2_item_6349,77
135,hasCE_AGE_yrBIN_2_item_6348,77
136,hasCE_AGE_yrBIN_2_item_6334,171
137,hasCE_AGE_yrBIN_2_item_5832,98
138,hasCE_AGE_yrBIN_2_item_6098,98
139,hasCE_AGE_yrBIN_2_item_6340,77
140,hasCE_AGE_yrBIN_2_item_6338,77
141,hasCE_AGE_yrBIN_2_item_5047,116
142,hasCE_AGE_yrBIN_2_item_6342,77
143,hasCE_AGE_yrBIN_2_item_6343,77
144,hasCE_AGE_yrBIN_2_item_6344,77
145,hasCE_AGE_yrBIN_2_item_6345,77
146,hasCE_AGE_yrBIN_2_item_6419,74
147,hasCE_AGE_yrBIN_2_item_6346,77
148,hasCE_AGE_yrBIN_2_item_6347,77
149,hasCE_AGE_yrBIN_2_item_6066,134
150,hasCE_AGE_yrBIN_2_item_6624,134
151,hasCE_AGE_yrBIN_2_item_6626,134
152,hasCE_AGE_yrBIN_3_item_5230,2182
153,hasCE_AGE_yrBIN_3_item_5226,2183
154,hasCE_AGE_yrBIN_3_item_5218,2183
155,hasCE_AGE_yrBIN_3_item_5212,1658
156,hasCE_AGE_yrBIN_3_item_5213,506
157,hasCE_AGE_yrBIN_3_item_5256,201
158,hasCE_AGE_yrBIN_3_item_5097,1340
159,hasCE_AGE_yrBIN_3_item_5225,2181
160,hasCE_AGE_yrBIN_3_item_5059,368
161,hasCE_AGE_yrBIN_3_item_5224,2182
162,hasCE_AGE_yrBIN_3_item_5248,2180
163,hasCE_AGE_yrBIN_3_item_5238,503
164,hasCE_AGE_yrBIN_3_item_5215,2181
165,hasCE_AGE_yrBIN_3_item_5235,2182
166,hasCE_AGE_yrBIN_3_item_5236,503
167,hasCE_AGE_yrBIN_3_item_5245,147
168,hasCE_AGE_yrBIN_3_item_5114,1339
169,hasCE_AGE_yrBIN_3_item_5099,1340
170,hasCE_AGE_yrBIN_3_item_5257,2181
171,hasCE_AGE_yrBIN_3_item_5113,1339
172,hasCE_AGE_yrBIN_3_item_5115,1339
173,hasCE_AGE_yrBIN_3_item_5132,1341
174,hasCE_AGE_yrBIN_3_item_6316,1219
175,hasCE_AGE_yrBIN_3_item_5094,1218
176,hasCE_AGE_yrBIN_3_item_5511,1
177,hasCE_AGE_yrBIN_3_item_5129,1340
178,hasCE_AGE_yrBIN_3_item_5141,1339
179,hasCE_AGE_yrBIN_3_item_5024,472
180,hasCE_AGE_yrBIN_3_item_5120,1182
181,hasCE_AGE_yrBIN_3_item_5136,1326
182,hasCE_AGE_yrBIN_3_item_5075,472
183,hasCE_AGE_yrBIN_3_item_5002,1276
184,hasCE_AGE_yrBIN_3_item_5078,486
185,hasCE_AGE_yrBIN_3_item_5025,471
186,hasCE_AGE_yrBIN_3_item_5492,1276
187,hasCE_AGE_yrBIN_3_item_5626,884
188,hasCE_AGE_yrBIN_3_item_5821,429
189,hasCE_AGE_yrBIN_3_item_5038,491
